Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,38.790001,39.349998,37.630001,38.169998,38.169998,5303100
2020-12-01,39.080002,40.869999,38.730000,39.610001,39.610001,6966000
2020-12-02,39.025002,43.860001,38.200001,43.400002,43.400002,17157800
2020-12-03,43.410000,44.060001,42.400002,43.099998,43.099998,8617000
2020-12-04,43.400002,46.139999,43.400002,46.099998,46.099998,10547900
2020-12-07,47.349998,47.749001,46.029999,46.555000,46.555000,8608200
2020-12-08,46.040001,47.900002,46.040001,46.520000,46.520000,7448800
2020-12-09,47.230000,48.750000,46.230000,47.529999,47.529999,11659500
